NPRODUCTO,CONCURSO,R1,R2,R3,R4,R5,R6,R7,BOLSA,FECHA
40,3975,10,15,20,24,28,55,22,30900000,06/11/2024
40,3974,2,4,16,23,31,45,36,30800000,03/11/2024
40,3973,3,5,17,24,37,56,23,30700000,01/11/2024
40,3972,2,21,22,25,33,56,9,30600000,30/10/2024
40,3971,2,15,17,27,31,47,20,30500000,27/10/2024
40,3970,5,8,34,36,43,50,52,30400000,25/10/2024
40,3969,1,2,8,24,31,47,52,30300000,23/10/2024
40,3968,1,2,13,28,45,51,52,30200000,20/10/2024
40,3967,12,28,29,40,41,54,35,30100000,18/10/2024
40,3966,3,4,18,20,22,49,52,30000000,16/10/2024
40,3965,5,8,16,21,30,48,32,187300000,13/10/2024
40,3964,11,19,25,36,48,55,28,183700000,11/10/2024
40,3963,22,23,28,32,37,55,27,179700000,09/10/2024
40,3962,7,20,24,40,41,43,15,176900000,06/10/2024
40,3961,11,26,32,37,42,53,39,172900000,04/10/2024
40,3960,1,3,16,27,28,46,30,169000000,02/10/2024
40,3959,3,9,10,12,18,55,7,167300000,29/09/2024
40,3958,11,20,21,44,45,48,30,163900000,27/09/2024
40,3957,9,11,20,22,29,52,43,160300000,25/09/2024
40,3956,11,34,36,41,47,55,25,157000000,22/09/2024
40,3955,6,21,30,50,51,53,12,153300000,20/09/2024
40,3954,2,13,21,34,36,45,41,149700000,18/09/2024
40,3953,14,24,40,43,45,52,26,146700000,15/09/2024
40,3952,16,19,21,28,49,50,31,143000000,13/09/2024
40,3951,2,6,9,36,51,56,54,139300000,11/09/2024
40,3950,10,17,18,32,35,42,27,136700000,08/09/2024
40,3949,6,15,16,22,39,56,9,133000000,06/09/2024
40,3948,15,35,50,51,52,54,28,128700000,04/09/2024
40,3947,4,14,15,30,31,56,23,125700000,01/09/2024
40,3946,8,32,42,45,48,50,7,121700000,30/08/2024
40,3945,12,20,24,44,50,56,21,118000000,28/08/2024
40,3944,11,13,22,29,34,46,16,115700000,25/08/2024
40,3943,1,23,25,32,36,44,3,112500000,23/08/2024
40,3942,18,22,29,35,39,51,31,108500000,21/08/2024
40,3941,2,14,16,25,32,40,46,105700000,18/08/2024
40,3940,2,28,30,31,40,51,44,101700000,16/08/2024
40,3939,1,3,4,12,30,41,16,98500000,14/08/2024
40,3938,8,14,34,40,44,53,18,95500000,11/08/2024
40,3937,7,9,16,25,53,54,33,92300000,09/08/2024
40,3936,4,5,16,22,27,39,54,89000000,07/08/2024
40,3935,6,11,14,25,33,44,45,86700000,04/08/2024
40,3934,4,11,12,29,30,49,46,83300000,02/08/2024
40,3933,19,25,36,41,45,47,17,79500000,31/07/2024
40,3932,25,29,40,41,47,50,16,76500000,28/07/2024
40,3931,4,10,21,25,26,41,44,73000000,26/07/2024
40,3930,4,6,32,35,40,41,56,69700000,24/07/2024
40,3929,15,18,21,40,42,51,46,66800000,21/07/2024
40,3928,5,22,26,50,51,53,34,63300000,19/07/2024
40,3927,6,7,11,21,22,30,12,60500000,17/07/2024
40,3926,2,3,10,17,23,39,4,58500000,14/07/2024
40,3925,10,18,31,44,45,49,33,54900000,12/07/2024
40,3924,3,4,5,10,39,52,53,51500000,10/07/2024
40,3923,6,12,14,28,38,53,56,48900000,07/07/2024
40,3922,1,18,24,25,38,50,22,45500000,05/07/2024
40,3921,11,36,39,41,53,54,16,41300000,03/07/2024
40,3920,4,8,17,33,35,47,23,39100000,30/06/2024
40,3919,13,21,32,36,37,56,4,36000000,28/06/2024
40,3918,13,24,27,28,32,55,52,33000000,26/06/2024
40,3917,3,4,27,31,33,34,52,30900000,23/06/2024
40,3916,1,10,20,24,39,54,36,30800000,21/06/2024
40,3915,1,6,36,39,41,45,3,30700000,19/06/2024
40,3914,1,7,15,18,50,51,8,30600000,16/06/2024
40,3913,6,13,27,30,50,55,20,30500000,14/06/2024
40,3912,7,24,32,36,43,49,39,30400000,12/06/2024
40,3911,3,6,29,42,43,49,27,30300000,09/06/2024
40,3910,1,3,11,22,24,30,54,30200000,07/06/2024
40,3909,1,3,22,41,45,55,11,30100000,05/06/2024
40,3908,23,25,33,35,49,56,19,30000000,02/06/2024
40,3907,9,14,33,42,43,53,41,261700000,31/05/2024
40,3906,4,7,15,29,31,33,12,258900000,29/05/2024
40,3905,4,11,16,19,22,54,36,256500000,26/05/2024
40,3904,20,32,35,36,45,53,22,252500000,24/05/2024
40,3903,6,20,25,26,32,35,51,248700000,22/05/2024
40,3902,3,24,40,44,53,55,28,245500000,19/05/2024
40,3901,6,29,30,41,46,52,24,241100000,17/05/2024
40,3900,3,30,31,37,44,45,42,237000000,15/05/2024
40,3899,2,8,10,28,41,42,22,234300000,12/05/2024
40,3898,1,12,16,18,26,46,8,230500000,10/05/2024
40,3897,3,9,13,18,19,44,35,227300000,08/05/2024
40,3896,11,19,21,37,38,51,55,224000000,05/05/2024
40,3895,1,11,13,45,47,53,38,220000000,03/05/2024
40,3894,4,14,18,29,32,53,26,216300000,01/05/2024
40,3893,4,12,32,42,46,53,16,213000000,28/04/2024
40,3892,4,12,20,21,39,41,52,209300000,26/04/2024
40,3891,5,22,24,29,51,54,12,205300000,24/04/2024
40,3890,2,15,24,42,43,44,40,202500000,21/04/2024
40,3889,2,11,19,23,33,48,1,198900000,19/04/2024
40,3888,21,25,32,43,52,53,6,194700000,17/04/2024
40,3887,1,12,18,38,41,47,28,191500000,14/04/2024
40,3886,14,16,37,44,53,55,31,187200000,12/04/2024
40,3885,8,9,30,33,37,48,28,183300000,10/04/2024
40,3884,16,18,24,44,51,56,3,180300000,07/04/2024
40,3883,9,21,34,49,51,56,17,176300000,05/04/2024
40,3882,7,12,24,36,46,53,23,172900000,03/04/2024
40,3881,14,16,18,33,35,42,8,169300000,31/03/2024
40,3880,20,34,39,44,48,53,23,165300000,29/03/2024
40,3879,4,6,8,19,25,51,1,163000000,27/03/2024
40,3878,1,33,49,51,53,54,11,160300000,24/03/2024
40,3877,17,19,22,29,40,48,7,156300000,22/03/2024
40,3876,5,8,31,45,52,56,48,152700000,20/03/2024
40,3875,2,24,34,39,40,50,44,149300000,17/03/2024
40,3874,9,17,20,30,33,50,44,145400000,15/03/2024
40,3873,1,5,7,20,28,55,56,142000000,13/03/2024
40,3872,9,11,20,24,29,54,42,139800000,10/03/2024
40,3871,12,14,22,32,36,51,33,136000000,08/03/2024
40,3870,12,35,36,39,47,50,4,131600000,06/03/2024
40,3869,4,16,20,24,39,43,48,128600000,03/03/2024
